,CUST_CODE,TOTAL_VISIT,TOTAL_SPEND,TICKET_SIZE,STD_SPEND,Duration_LAST_SHOPDATE,DUration_FIRST_SHOPDATE,LENGTH_STAY,AVG_TIME_TO_EVENT,MOD_BASKET,cluster
0,CUST0000235688,1,0.63,0.63,0.0,626,626,0,0.0,1,1
1,CUST0000060915,1,1.06,1.06,0.0,765,765,0,0.0,1,1
2,CUST0000552995,1,0.98,0.98,0.0,211,211,0,0.0,1,1
3,CUST0000138770,1,1.83,0.915,0.05499999999999999,425,425,0,0.0,1,1
4,CUST0000069692,1,1.56,1.56,0.0,303,303,0,0.0,1,1
5,CUST0000178998,1,4.5,2.25,1.4100000000000001,725,725,0,0.0,1,1
6,CUST0000981434,1,0.27,0.27,0.0,693,693,0,0.0,1,1
7,CUST0000448104,1,0.91,0.91,0.0,280,280,0,0.0,1,1
8,CUST0000202529,1,1.96,0.98,0.06,458,458,0,0.0,1,1
9,CUST0000888838,1,2.25,2.25,0.0,648,648,0,0.0,1,1
10,CUST0000443941,1,1.39,1.39,0.0,173,173,0,0.0,1,1
11,CUST0000419069,1,1.36,1.36,0.0,208,208,0,0.0,1,1
12,CUST0000005626,1,0.7,0.7,0.0,713,713,0,0.0,1,1
13,CUST0000884157,1,0.86,0.86,0.0,557,557,0,0.0,1,1
14,CUST0000443217,1,0.21,0.21,0.0,786,786,0,0.0,1,1
15,CUST0000441359,1,0.21,0.21,0.0,604,604,0,0.0,1,1
16,CUST0000758585,1,0.69,0.69,0.0,300,300,0,0.0,1,1
17,CUST0000827439,1,0.57,0.57,0.0,650,650,0,0.0,1,1
18,CUST0000333717,1,0.73,0.73,0.0,781,781,0,0.0,1,1
19,CUST0000873055,1,0.39,0.39,0.0,357,357,0,0.0,1,1
20,CUST0000659474,1,0.88,0.88,0.0,704,704,0,0.0,1,1
21,CUST0000168291,1,0.98,0.98,0.0,351,351,0,0.0,1,1
22,CUST0000132039,1,0.98,0.98,0.0,422,422,0,0.0,1,1
23,CUST0000876643,1,1.04,1.04,0.0,757,757,0,0.0,1,1
24,CUST0000081440,1,0.42,0.42,0.0,368,368,0,0.0,1,1
25,CUST0000043270,1,2.38,1.19,0.010000000000000009,706,706,0,0.0,1,1
26,CUST0000400142,1,0.49,0.49,0.0,246,246,0,0.0,1,1
27,CUST0000131899,1,0.39,0.195,0.08500000000000002,656,656,0,0.0,1,1
28,CUST0000633704,1,3.83,3.83,0.0,131,131,0,0.0,1,1
29,CUST0000980316,1,0.66,0.66,0.0,330,330,0,0.0,1,1
30,CUST0000336263,1,0.63,0.63,0.0,433,433,0,0.0,1,1
31,CUST0000486387,1,1.43,1.43,0.0,735,735,0,0.0,1,1
32,CUST0000288015,1,1.23,0.615,0.33499999999999996,591,591,0,0.0,1,1
33,CUST0000278767,1,0.34,0.34,0.0,797,797,0,0.0,1,1
34,CUST0000166508,1,0.81,0.81,0.0,188,188,0,0.0,1,1
35,CUST0000444465,1,3.27,1.635,0.655,809,809,0,0.0,1,1
36,CUST0000744848,1,2.51,1.255,0.38499999999999995,198,198,0,0.0,1,1
37,CUST0000403637,1,2.16,2.16,0.0,329,329,0,0.0,1,1
38,CUST0000955060,1,0.43,0.43,0.0,93,93,0,0.0,1,1
39,CUST0000534181,1,9.48,9.48,0.0,193,193,0,0.0,1,1
40,CUST0000046443,1,11.73,5.865,0.5350000000000001,217,217,0,0.0,1,1
41,CUST0000685785,1,0.98,0.98,0.0,665,665,0,0.0,1,1
42,CUST0000580896,1,6.22,3.11,0.8999999999999999,133,133,0,0.0,1,1
43,CUST0000399145,1,1.87,1.87,0.0,101,101,0,0.0,1,1
44,CUST0000331174,1,1.35,1.35,0.0,511,511,0,0.0,1,1
45,CUST0000894975,1,0.83,0.83,0.0,654,654,0,0.0,1,1
46,CUST0000173386,1,1.02,1.02,0.0,106,106,0,0.0,1,1
47,CUST0000537584,1,1.11,1.11,0.0,573,573,0,0.0,1,1
48,CUST0000178601,1,0.58,0.29,0.27999999999999997,521,521,0,0.0,1,1
49,CUST0000977218,1,1.26,1.26,0.0,369,369,0,0.0,1,1
50,CUST0000537927,1,0.86,0.86,0.0,765,765,0,0.0,1,1
51,CUST0000439220,1,0.75,0.75,0.0,221,221,0,0.0,1,1
52,CUST0000150376,1,2.86,2.86,0.0,797,797,0,0.0,1,1
53,CUST0000466859,1,2.01,2.01,0.0,445,445,0,0.0,1,1
54,CUST0000872240,1,1.95,1.95,0.0,308,308,0,0.0,1,1
55,CUST0000865388,1,2.96,2.96,0.0,180,180,0,0.0,1,1
56,CUST0000524616,1,0.51,0.51,0.0,253,253,0,0.0,1,1
57,CUST0000701078,1,2.48,1.24,0.9400000000000001,477,477,0,0.0,1,1
58,CUST0000174096,1,2.29,1.145,0.395,443,443,0,0.0,1,1
59,CUST0000153159,1,0.57,0.57,0.0,146,146,0,0.0,1,1
60,CUST0000778529,1,0.86,0.86,0.0,246,246,0,0.0,1,1
61,CUST0000962216,1,1.77,0.885,0.23500000000000004,706,706,0,0.0,1,1
62,CUST0000482251,1,1.52,1.52,0.0,127,127,0,0.0,1,1
63,CUST0000679872,1,0.4,0.4,0.0,604,604,0,0.0,1,1
64,CUST0000998299,1,3.14,1.57,0.29000000000000004,361,361,0,0.0,1,1
65,CUST0000705151,1,1.48,1.48,0.0,132,132,0,0.0,1,1
66,CUST0000128833,1,0.57,0.57,0.0,526,526,0,0.0,1,1
67,CUST0000446500,1,1.54,1.54,0.0,654,654,0,0.0,1,1
68,CUST0000936418,1,0.98,0.98,0.0,688,688,0,0.0,1,1
69,CUST0000370557,1,0.36,0.36,0.0,385,385,0,0.0,1,1
70,CUST0000679456,1,0.92,0.92,0.0,761,761,0,0.0,1,1
71,CUST0000436040,1,1.02,1.02,0.0,601,601,0,0.0,1,1
72,CUST0000102772,1,2.07,2.07,0.0,267,267,0,0.0,1,1
73,CUST0000097699,1,0.53,0.53,0.0,144,144,0,0.0,1,1
